Entity,Code,Year,"Inflation, consumer prices (annual %)"
Nicaragua,NIC,2022,10.467424
Niger,NER,2017,2.7963731
Niger,NER,2018,2.9676037
Niger,NER,2019,-2.4897926
Niger,NER,2020,2.8981938
Niger,NER,2021,3.837868
Niger,NER,2022,4.2262177
Nigeria,NGA,2017,16.502266
Nigeria,NGA,2018,12.095106
Nigeria,NGA,2019,11.396422
Nigeria,NGA,2020,13.246023
Nigeria,NGA,2021,16.952847
Nigeria,NGA,2022,18.847187
North America (WB),,2017,1.863497
North America (WB),,2018,2.3554044
North America (WB),,2019,1.8807396
North America (WB),,2020,0.975292
North America (WB),,2021,4.046526
North America (WB),,2022,7.4028006
North Macedonia,MKD,2017,1.3516189
North Macedonia,MKD,2018,1.458313
North Macedonia,MKD,2019,0.76643956
North Macedonia,MKD,2020,1.2000735
North Macedonia,MKD,2021,3.2307491
North Macedonia,MKD,2022,14.204718
Norway,NOR,2017,1.8751006
Norway,NOR,2018,2.7648313
Norway,NOR,2019,2.16773
Norway,NOR,2020,1.2865849
Norway,NOR,2021,3.4838805
Norway,NOR,2022,5.764123
Oman,OMN,2017,1.5890942
Oman,OMN,2018,0.8893124
Oman,OMN,2019,0.49081537
Oman,OMN,2020,-0.40640292
Oman,OMN,2021,1.6822119
Oman,OMN,2022,2.5061426
Pakistan,PAK,2017,4.085374
Pakistan,PAK,2018,5.0780573
Pakistan,PAK,2019,10.5783615
Pakistan,PAK,2020,9.739993
Pakistan,PAK,2021,9.49621
Pakistan,PAK,2022,19.87386
Palau,PLW,2017,1.4179882
Palau,PLW,2018,2.1097047
Palau,PLW,2019,0.26737967
Palau,PLW,2020,0.21818182
Palau,PLW,2021,2.6124818
Palau,PLW,2022,12.352664
Palestine,PSE,2017,0.21257094
Palestine,PSE,2018,-0.19510777
Palestine,PSE,2019,1.5801834
Palestine,PSE,2020,-0.735332
Palestine,PSE,2021,1.237481
Palestine,PSE,2022,3.7412238
Panama,PAN,2017,0.8755859
Panama,PAN,2018,0.7615784
Panama,PAN,2019,-0.35508382
Panama,PAN,2020,-1.5502754
Panama,PAN,2021,1.6307033
Panama,PAN,2022,2.8596513
Papua New Guinea,PNG,2017,5.4220457
Papua New Guinea,PNG,2018,4.3744893
Papua New Guinea,PNG,2019,3.9286728
Papua New Guinea,PNG,2020,4.871674
Papua New Guinea,PNG,2021,4.48359
Papua New Guinea,PNG,2022,5.253239
Paraguay,PRY,2017,3.6024773
Paraguay,PRY,2018,3.9756103
Paraguay,PRY,2019,2.7570972
Paraguay,PRY,2020,1.7675159
Paraguay,PRY,2021,4.787983
Paraguay,PRY,2022,9.765567
Peru,PER,2017,2.9949005
Peru,PER,2018,1.5091542
Peru,PER,2019,2.252122
Peru,PER,2020,2.002412
Peru,PER,2021,4.2716637
Peru,PER,2022,8.333706
Philippines,PHL,2017,2.8531878
Philippines,PHL,2018,5.3093467
Philippines,PHL,2019,2.3920653
Philippines,PHL,2020,2.3931625
Philippines,PHL,2021,3.9271803
Philippines,PHL,2022,5.821158
Poland,POL,2017,2.0759356
Poland,POL,2018,1.8129516
Poland,POL,2019,2.2274787
Poland,POL,2020,3.3744698
Poland,POL,2021,5.055027
Poland,POL,2022,14.429451
Portugal,PRT,2017,1.3686141
Portugal,PRT,2018,0.9937157
Portugal,PRT,2019,0.3381784
Portugal,PRT,2020,-0.01243833
Portugal,PRT,2021,1.2656572
Portugal,PRT,2022,7.832691
Qatar,QAT,2017,0.39487892
Qatar,QAT,2018,0.2558154
Qatar,QAT,2019,-0.6666411
Qatar,QAT,2020,-2.540315
Qatar,QAT,2021,2.3044658
Qatar,QAT,2022,4.9952755
Romania,ROU,2017,1.3390212
Romania,ROU,2018,4.6254845
Romania,ROU,2019,3.8278544
Romania,ROU,2020,2.631073
Romania,ROU,2021,5.0523286
Romania,ROU,2022,13.795488
Russia,RUS,2017,3.6833293
Russia,RUS,2018,2.8782973
Russia,RUS,2019,4.4703665
Russia,RUS,2020,3.3816593
Russia,RUS,2021,6.694459
Rwanda,RWA,2017,8.279536
Rwanda,RWA,2018,-0.31121016
Rwanda,RWA,2019,3.3478765
Rwanda,RWA,2020,9.850399
Rwanda,RWA,2021,-0.39134675
Rwanda,RWA,2022,17.689209
Saint Kitts and Nevis,KNA,2017,0.6949167
Saint Kitts and Nevis,KNA,2018,-1.0371221
Saint Kitts and Nevis,KNA,2019,-0.32956207
Saint Kitts and Nevis,KNA,2020,-1.167245
Saint Kitts and Nevis,KNA,2021,1.1956888
Saint Kitts and Nevis,KNA,2022,2.6681752
Saint Lucia,LCA,2017,0.10426208
Saint Lucia,LCA,2018,1.9356189
Saint Lucia,LCA,2019,0.53908753
Saint Lucia,LCA,2020,-1.7558084
Saint Lucia,LCA,2021,2.4107032
Saint Lucia,LCA,2022,6.378147
Saint Vincent and the Grenadines,VCT,2017,2.1533365
Saint Vincent and the Grenadines,VCT,2018,2.3241448
Saint Vincent and the Grenadines,VCT,2019,0.9130697
Saint Vincent and the Grenadines,VCT,2020,-0.62813133
Saint Vincent and the Grenadines,VCT,2021,1.5727293
Saint Vincent and the Grenadines,VCT,2022,5.6600976
Samoa,WSM,2017,1.7498968
Samoa,WSM,2018,4.1974587
Samoa,WSM,2019,0.98232657
Samoa,WSM,2020,-1.5689125
Samoa,WSM,2021,3.1332047
Samoa,WSM,2022,10.961883
San Marino,SMR,2017,1.0141331
San Marino,SMR,2018,1.1633352
San Marino,SMR,2019,0.47265196
San Marino,SMR,2020,-0.1333689
San Marino,SMR,2021,1.6155142
San Marino,SMR,2022,5.3254533
Sao Tome and Principe,STP,2017,5.690296
Sao Tome and Principe,STP,2018,7.868596
Sao Tome and Principe,STP,2019,7.7202454
Sao Tome and Principe,STP,2020,9.819328
Sao Tome and Principe,STP,2021,8.137771
Sao Tome and Principe,STP,2022,18.005634
Saudi Arabia,SAU,2017,-0.83641034
Saudi Arabia,SAU,2018,2.4571984
Saudi Arabia,SAU,2019,-2.093349
Saudi Arabia,SAU,2020,3.445467
Saudi Arabia,SAU,2021,3.0632899
Saudi Arabia,SAU,2022,2.4740736
Senegal,SEN,2017,1.3181531
Senegal,SEN,2018,0.46098563
Senegal,SEN,2019,1.7601116
Senegal,SEN,2020,2.5431468
Senegal,SEN,2021,2.180323
Senegal,SEN,2022,9.696819
Serbia,SRB,2017,3.1310625
Serbia,SRB,2018,1.9598408
Serbia,SRB,2019,1.8492298
Serbia,SRB,2020,1.5755329
Serbia,SRB,2021,4.085103
Serbia,SRB,2022,11.981512
Seychelles,SYC,2017,2.8567958
Seychelles,SYC,2018,3.7029183
Seychelles,SYC,2019,1.807094
Seychelles,SYC,2020,1.2026646
Seychelles,SYC,2021,9.769099
Seychelles,SYC,2022,2.6260364
Sierra Leone,SLE,2017,18.22151
Sierra Leone,SLE,2018,16.029545
Sierra Leone,SLE,2019,14.804999
Sierra Leone,SLE,2020,13.446871
Sierra Leone,SLE,2021,11.873959
Sierra Leone,SLE,2022,27.208288
Singapore,SGP,2017,0.5767632
Singapore,SGP,2018,0.4387842
Singapore,SGP,2019,0.56782997
Singapore,SGP,2020,-0.17211187
Singapore,SGP,2021,2.3161032
Singapore,SGP,2022,6.1309543
Sint Maarten (Dutch part),SXM,2017,2.1920102
Slovakia,SVK,2017,1.3119459
Slovakia,SVK,2018,2.5140371
Slovakia,SVK,2019,2.6645613
Slovakia,SVK,2020,1.9369413
Slovakia,SVK,2021,3.1496062
Slovakia,SVK,2022,12.774146
Slovenia,SVN,2017,1.4291074
Slovenia,SVN,2018,1.7386086
Slovenia,SVN,2019,1.6305226
Slovenia,SVN,2020,-0.054856814
Slovenia,SVN,2021,1.917065
Slovenia,SVN,2022,8.833699
Solomon Islands,SLB,2017,0.48868677
Solomon Islands,SLB,2018,3.461475
Solomon Islands,SLB,2019,1.6348554
Solomon Islands,SLB,2020,2.9635499
Solomon Islands,SLB,2021,-0.115437895
Solomon Islands,SLB,2022,5.5181293
South Africa,ZAF,2017,5.186187
South Africa,ZAF,2018,4.5098724
South Africa,ZAF,2019,4.102851
South Africa,ZAF,2020,3.2323883
South Africa,ZAF,2021,4.6187453
South Africa,ZAF,2022,7.0398726
South Asia (WB),,2017,4.29109
South Asia (WB),,2018,3.3313951
South Asia (WB),,2019,3.6289496
South Asia (WB),,2020,5.66022
South Asia (WB),,2021,5.338531
South Asia (WB),,2022,7.174913
South Korea,KOR,2017,1.9443324
South Korea,KOR,2018,1.4758394
South Korea,KOR,2019,0.3830003
South Korea,KOR,2020,0.537288
South Korea,KOR,2021,2.4983332
South Korea,KOR,2022,5.089514
South Sudan,SSD,2017,187.85162
South Sudan,SSD,2018,83.501526
South Sudan,SSD,2019,87.24136
South Sudan,SSD,2020,29.675844
South Sudan,SSD,2021,10.516716
South Sudan,SSD,2022,-6.6873207
Spain,ESP,2017,1.9560764
Spain,ESP,2018,1.6749814
Spain,ESP,2019,0.699519
Spain,ESP,2020,-0.322753
Spain,ESP,2021,3.093135
Spain,ESP,2022,8.390576
Sri Lanka,LKA,2017,7.704138
Sri Lanka,LKA,2018,2.1350377
Sri Lanka,LKA,2019,3.5283935
Sri Lanka,LKA,2020,6.153945
Sri Lanka,LKA,2021,7.0147805
Sri Lanka,LKA,2022,49.721104
Sub-Saharan Africa (WB),,2017,5.197952
Sub-Saharan Africa (WB),,2018,4.092978
Sub-Saharan Africa (WB),,2019,2.8351455
Sub-Saharan Africa (WB),,2020,3.4839356
Sub-Saharan Africa (WB),,2021,4.6187453
Sub-Saharan Africa (WB),,2022,9.390759
Sudan,SDN,2017,32.351627
Sudan,SDN,2018,63.292507
Sudan,SDN,2019,50.994053
Sudan,SDN,2020,163.25778
Sudan,SDN,2021,359.09305
Sudan,SDN,2022,138.80846
Suriname,SUR,2017,21.996943
Suriname,SUR,2020,34.889786
Suriname,SUR,2021,59.119663
Suriname,SUR,2022,52.446026
Sweden,SWE,2017,1.794499
Sweden,SWE,2018,1.9535353
Sweden,SWE,2019,1.784151
Sweden,SWE,2020,0.49736732
Sweden,SWE,2021,2.1631973
Sweden,SWE,2022,8.369291
Switzerland,CHE,2017,0.53378785
Switzerland,CHE,2018,0.93633544
Switzerland,CHE,2019,0.3628862
Switzerland,CHE,2020,-0.72587496
Switzerland,CHE,2021,0.58181417
Switzerland,CHE,2022,2.835028
Syria,SYR,2017,18.07527
Syria,SYR,2018,0.94098383
Syria,SYR,2019,13.417565
Tanzania,TZA,2017,5.318716
Tanzania,TZA,2018,3.4944584
Tanzania,TZA,2019,3.4642806
Tanzania,TZA,2020,3.2902906
Tanzania,TZA,2021,3.6909196
Tanzania,TZA,2022,4.350272
Thailand,THA,2017,0.6656319
Thailand,THA,2018,1.0638975
Thailand,THA,2019,0.7067286
Thailand,THA,2020,-0.84593713
Thailand,THA,2021,1.2303954
Thailand,THA,2022,-1.6106803
Togo,TGO,2017,-0.9802895
Togo,TGO,2018,0.9281705
Togo,TGO,2019,0.6858976
Togo,TGO,2020,1.8275404
Togo,TGO,2021,4.558773
Togo,TGO,2022,7.6171255
Tonga,TON,2017,7.5170627
Tonga,TON,2018,5.032097
Tonga,TON,2019,1.1795434
Tonga,TON,2020,-0.3497377
Tonga,TON,2021,5.6405115
Tonga,TON,2022,10.971365
Trinidad and Tobago,TTO,2017,1.8803844
Trinidad and Tobago,TTO,2018,1.0185694
Trinidad and Tobago,TTO,2019,1.0005429
Trinidad and Tobago,TTO,2020,0.5989863
Trinidad and Tobago,TTO,2021,2.0592275
Trinidad and Tobago,TTO,2022,5.8283863
Tunisia,TUN,2017,5.3088484
Tunisia,TUN,2018,7.307592
Tunisia,TUN,2019,6.720075
Tunisia,TUN,2020,5.634151
Tunisia,TUN,2021,5.7063503
Tunisia,TUN,2022,8.306461
Turkey,TUR,2017,11.144311
Turkey,TUR,2018,16.332464
Turkey,TUR,2019,15.176822
Turkey,TUR,2020,12.278957
Turkey,TUR,2021,19.596493
Turkey,TUR,2022,72.30884
Uganda,UGA,2017,5.2097173
Uganda,UGA,2018,2.6160119
Uganda,UGA,2019,2.867588
Uganda,UGA,2020,3.3133228
Uganda,UGA,2021,2.204572
Uganda,UGA,2022,7.195789
Ukraine,UKR,2017,14.438323
Ukraine,UKR,2018,10.951856
Ukraine,UKR,2019,7.8867173
Ukraine,UKR,2020,2.7324922
Ukraine,UKR,2021,9.363139
Ukraine,UKR,2022,20.183636
United Arab Emirates,ARE,2017,1.9668256
United Arab Emirates,ARE,2018,3.0686338
United Arab Emirates,ARE,2019,-1.9310812
United Arab Emirates,ARE,2020,-2.0794032
United Arab Emirates,ARE,2021,0.17993534
United Arab Emirates,ARE,2022,5.291226
United Kingdom,GBR,2017,2.5577557
United Kingdom,GBR,2018,2.29284
United Kingdom,GBR,2019,1.7381046
United Kingdom,GBR,2020,0.9894867
United Kingdom,GBR,2021,2.518371
United Kingdom,GBR,2022,7.922049
United States,USA,2017,2.13011
United States,USA,2018,2.4425833
United States,USA,2019,1.8122101
United States,USA,2020,1.2335844
United States,USA,2021,4.697859
United States,USA,2022,8.0028
Upper-middle-income countries,,2017,3.3082807
Upper-middle-income countries,,2018,2.8301494
Upper-middle-income countries,,2019,1.8299168
Upper-middle-income countries,,2020,1.7675159
Upper-middle-income countries,,2021,4.0285287
Upper-middle-income countries,,2022,8.811092
Uruguay,URY,2017,6.218094
Uruguay,URY,2018,7.6065335
Uruguay,URY,2019,7.8819885
Uruguay,URY,2020,9.756407
Uruguay,URY,2021,7.747914
Uruguay,URY,2022,9.10438
Uzbekistan,UZB,2017,13.875743
Uzbekistan,UZB,2018,17.52418
Uzbekistan,UZB,2019,14.525736
Uzbekistan,UZB,2020,12.86773
Uzbekistan,UZB,2021,10.849239
Uzbekistan,UZB,2022,11.446644
Vanuatu,VUT,2017,3.0845263
Vanuatu,VUT,2018,2.3309639
Vanuatu,VUT,2019,2.76252
Vanuatu,VUT,2020,5.329351
Vanuatu,VUT,2021,2.3432837
Vanuatu,VUT,2022,6.679306
Vietnam,VNM,2017,3.520257
Vietnam,VNM,2018,3.539628
Vietnam,VNM,2019,2.7958236
Vietnam,VNM,2020,3.2209344
Vietnam,VNM,2021,1.8347156
Vietnam,VNM,2022,3.1565075
World,OWID_WRL,2017,2.2542765
World,OWID_WRL,2018,2.4425833
World,OWID_WRL,2019,2.206073
World,OWID_WRL,2020,1.9056636
World,OWID_WRL,2021,3.4754033
World,OWID_WRL,2022,7.922049
Zambia,ZMB,2017,6.5773115
Zambia,ZMB,2018,7.494572
Zambia,ZMB,2019,9.150316
Zambia,ZMB,2020,15.733061
Zambia,ZMB,2021,22.020767
Zambia,ZMB,2022,10.993204
Zimbabwe,ZWE,2017,0.8939623
Zimbabwe,ZWE,2018,10.618866
Zimbabwe,ZWE,2019,255.305
Zimbabwe,ZWE,2020,557.20184
Zimbabwe,ZWE,2021,98.546104
Zimbabwe,ZWE,2022,104.70517
